,V1,V2,V4,V5,V3
0,1.0,0.0,0.0,3.81250801471056e-63,0.0
1,0.0,1.0,0.0,1.4526595385787408e-35,0.0
2,1.0,0.0,0.0,7.536033274087359e-97,0.0
3,1.0,0.0,0.0,4.700996333800002e-105,0.0
4,0.0,1.0,0.0,1.0571291339319124e-20,0.0
5,0.0,0.9999998005140514,0.0,2.4737324519445305e-20,1.994859486848647e-07
6,0.0,0.0,1.3751441499208568e-157,1.0,0.0
7,0.0,1.0,0.0,1.2214807964295194e-53,1.0372217019008279e-53
8,0.0,1.0,0.0,1.1893859161614687e-72,0.0
9,1.0,0.0,0.0,3.859058594057215e-65,0.0
10,0.0,0.0,0.999999999998276,1.7238676398007866e-12,8.548653888619819e-158
11,0.0,0.0,0.9999999999992548,7.452682618723113e-13,0.0
12,0.0,0.0,1.0,4.7449953735058485e-59,0.0
13,0.0,0.0,1.0,0.0,0.0
14,0.0,0.0,0.0,4.468001062339474e-20,1.0
15,0.0,0.0,0.0,3.018511950452924e-18,1.0
16,0.0,0.0,0.0,1.0,4.289790172558001e-23
17,0.0,1.0,0.0,3.5822199255519163e-84,0.0
18,0.0,1.0,0.0,1.7120457375819304e-18,3.035765800227815e-20
19,1.0,1.1507581078386832e-73,0.0,1.440537852044665e-120,0.0
20,0.0,0.0,1.0,1.515503479023316e-22,0.0
21,0.0,0.0,1.0,0.0,0.0
22,0.0,0.0,3.358242947066478e-79,1.0,0.0
23,0.0,0.0,1.0,4.938421556047936e-46,0.0
24,0.0,0.0,0.0,1.0,0.0
25,0.0,1.0,0.0,1.0350752264187978e-116,0.0
26,0.0,2.191437443574177e-16,0.0,7.1404839041742465e-22,0.9999999999999998
27,0.0,0.0,0.0,1.4153149970268735e-17,1.0
28,0.0,0.0,0.8942926739836323,0.10570648838812975,8.376282378146261e-07
29,1.0,0.0,0.0,4.2759957106458124e-111,0.0
30,0.0,0.0,1.0,3.733772525504367e-21,0.0
31,0.0,0.0,1.0,1.502512010765329e-24,0.0
32,0.0,1.0,0.0,2.6907745668772008e-101,0.0
33,0.0,0.0,0.0,3.143324924701772e-14,0.9999999999999685
34,0.0,0.0,0.0,5.405500421902708e-19,1.0
35,0.0,0.0,0.9999999999999925,7.57782478030974e-15,0.0
36,0.0,0.0,1.0,1.0661183880609472e-21,0.0
37,0.0,0.0,1.0,0.0,0.0
38,0.0,1.0,0.0,2.8762489373198334e-66,0.0
39,0.0,0.00011659190896372134,0.0,1.5221812917888165e-22,0.9998834080910363
40,0.0,4.355254348599901e-200,0.0,2.2792474353430055e-13,0.9999999999997722
41,1.0,0.0,0.0,1.757893307922606e-89,0.0
42,0.0,1.0,0.0,8.352723959780056e-27,0.0
43,0.9999999999999998,3.310929280155642e-16,0.0,6.729884240960482e-45,0.0
44,0.0,0.0,1.0,5.384391770424842e-93,0.0
45,0.0,1.0,0.0,8.007734578970085e-32,0.0
46,0.9999999999999998,1.8604245751336899e-16,0.0,5.336257379251061e-73,0.0
47,0.0,0.0,0.999999999999347,6.529919857275588e-13,0.0
48,0.0,0.0,2.0881255364409142e-178,7.799145065876828e-13,0.9999999999992202
49,1.0,8.635958470233822e-36,0.0,2.787762095559586e-108,0.0
50,0.0,1.0,0.0,1.8167347630642755e-49,1.4718897313151555e-68
51,0.0,0.9999999999999998,0.0,1.0498524841799685e-40,3.2372391902800114e-16
52,0.0,0.0,0.9959802220393441,0.0040197721034704835,5.8571852960113635e-09
53,0.0,0.0,5.083233419549842e-06,0.9999949167665806,0.0
54,1.0,1.5649323900123498e-55,0.0,8.578980062429099e-130,0.0
55,1.6894235075842874e-18,1.0,0.0,1.3276679422015768e-49,0.0
56,0.0,0.0,0.0,2.81461878371174e-18,1.0
57,1.0,0.0,0.0,1.785752038767581e-77,0.0
58,0.9999999996696534,3.3034670579867437e-10,0.0,1.9992904550405874e-101,0.0
59,2.559570964198511e-17,1.0,0.0,3.9124999312827285e-44,0.0
60,0.0,1.0,0.0,7.934461041456463e-53,0.0
61,0.0,0.9999999717896736,0.0,4.501059592666619e-26,2.8210326362178785e-08
62,0.0,1.0,0.0,5.429174894876612e-49,2.9184507661595674e-30
63,0.0,0.999999999987075,0.0,7.024376225537695e-22,1.2924887639354033e-11
64,1.0,0.0,0.0,6.771331475789063e-37,0.0
65,0.0,0.0,0.0,2.8809358200397156e-11,0.9999999999711906
66,0.0,0.0,1.0,0.0,0.0
67,0.0,0.0,1.0,0.0,0.0
68,0.0,0.0,1.0,0.0,0.0
69,0.0,0.0,2.8600089538142794e-137,1.0,0.0
70,0.0,0.0,5.106824545208386e-07,0.9999994893175456,3.41627800509508e-142
71,1.0,0.0,0.0,1.920342748790647e-107,0.0
72,0.0,7.291349978599068e-44,0.0,4.722273882017341e-09,0.9999999952777261
73,0.0,1.0,0.0,2.5816044122521176e-21,0.0
74,0.0,0.0,1.0,4.4663444424598066e-45,0.0
75,0.0,0.0,0.9999999968742617,3.125738247128753e-09,0.0
76,1.0,5.2043048216773455e-21,0.0,7.546334285066826e-101,0.0
77,1.0,0.0,0.0,5.5175827279974e-112,0.0
78,1.0,6.600547062884638e-26,0.0,1.7178785454083538e-115,0.0
79,1.0,4.329293680442251e-289,0.0,5.428888234075254e-120,0.0
80,0.0,0.0,0.0,3.7096588276115795e-10,0.9999999996290341
81,1.0,1.3978718492472902e-89,0.0,4.839596158257043e-99,0.0
82,0.0,0.0,3.800518936658243e-13,0.9999999999996199,1.559565227409541e-303
83,0.0,0.0,1.0,0.0,0.0
84,0.0,0.0,1.0,1.780093897170508e-33,0.0
85,0.0,0.0,0.0,7.965242024416038e-18,1.0
86,0.0,0.0,1.0,2.6261180625658707e-169,0.0
87,0.0,0.0,0.00731273555091214,0.9926872644490877,0.0
88,0.0,0.0,1.0,6.434752331412928e-117,0.0
89,0.0,1.0,0.0,3.5601660261837554e-106,0.0
90,0.0,0.0,0.9999999999999856,1.4326634430475865e-14,0.0
91,1.0,2.40662670417816e-123,0.0,1.8340754886988492e-126,0.0
92,1.0,1.2979841108329137e-28,0.0,2.8593507929134532e-83,0.0
93,1.0,0.0,0.0,4.238896401215876e-127,0.0
94,0.0,1.0,0.0,1.8155404044887775e-25,6.47702738254904e-295
95,0.0,0.0,0.9999982881885106,1.7118114894926148e-06,0.0
96,0.0,0.0,1.0,1.35800894379196e-20,0.0
97,0.0,1.0,0.0,1.2253465319192979e-30,0.0
98,0.9999999998320992,1.6790084911299859e-10,0.0,6.633274298209649e-64,0.0
99,1.0,1.3197066784853714e-44,0.0,4.672907975178556e-92,0.0
100,0.0,6.4138485261027535e-15,0.0,3.718554347389357e-22,0.9999999999999936
101,0.0,0.0,0.9999999999999993,5.588887750750662e-16,0.0
102,0.0,0.0,1.0,1.9728106120635492e-109,0.0
103,0.9992039726766914,0.0007960273233085856,0.0,2.2376836674215162e-44,0.0
104,0.0,1.0,0.0,1.778556165913505e-57,0.0
105,1.0,0.0,0.0,2.1840083284140846e-100,0.0
106,0.0,0.999999996473977,0.0,3.5260229074933852e-09,6.812847935965059e-198
107,0.0,0.0,0.0,1.7623368223181134e-16,0.9999999999999998
108,0.0,0.0,1.0,0.0,0.0
109,0.0,0.0,1.0,3.483957320534396e-19,0.0
110,0.0,1.7641497378579604e-76,0.0,1.4113300008390888e-22,1.0
111,0.0,0.0,1.0,5.533200242219347e-262,0.0
112,0.0,0.0,1.0,2.3898959352717017e-23,0.0
113,1.0,3.0040119255152454e-33,0.0,4.225741290780584e-66,0.0
114,1.0,0.0,0.0,8.634870021016826e-112,0.0
115,1.0,3.852318569628112e-105,0.0,2.188489370405885e-152,0.0
116,0.9999999999999998,1.1999774339413746e-16,0.0,8.475356262963427e-95,0.0
117,3.859305037010804e-22,1.0,0.0,1.0723335939042138e-98,0.0
118,0.0,0.0,4.5072767817127236e-38,0.9999999999999953,4.565875404126481e-15
119,0.0,7.914467433603323e-106,0.0,1.932908375657054e-23,1.0
120,0.0,0.0,1.0,0.0,0.0
121,0.0,0.9999974249563242,0.0,1.8767883735604328e-06,6.982553023106277e-07
122,0.0,1.0,0.0,2.1477559734508458e-63,0.0
123,0.0,1.0,0.0,1.578141042966132e-25,0.0
124,0.0,1.0,0.0,3.6420502279793217e-19,0.0
125,0.0,1.0,0.0,6.4757974290258e-63,7.952820490947315e-152
126,0.0,2.5918256061074103e-268,0.0,1.9750305719781779e-22,1.0
127,0.0,0.0,1.1737022856944872e-157,1.0,0.0
128,0.0,0.0,1.0,2.469363425669251e-22,0.0
129,0.0,0.0,0.9999999988667472,1.1332527167455182e-09,4.476428713702708e-272
130,1.0,1.3457292241917937e-19,0.0,1.5866065851911865e-65,0.0
131,0.0,0.0,0.999999999999865,1.3492481023996874e-13,0.0
132,0.0,0.0,0.0,1.0,2.840019953390079e-135
133,0.0,1.0,0.0,8.12224565591326e-50,0.0
134,0.0,0.0,1.0,9.139499615784907e-88,0.0
135,1.0,3.415923846502757e-27,0.0,5.364027382394999e-131,0.0
136,1.2203832762424479e-32,1.0,0.0,1.9413673387719474e-79,0.0
137,0.9999260627670971,7.393723290292768e-05,0.0,3.8610991230695094e-157,0.0
138,0.0,0.0,0.9999999966559656,3.3440344264891996e-09,0.0
139,0.0,0.0,1.0,0.0,0.0
140,0.0,0.0,0.0,1.2088980533218918e-13,0.9999999999998792
141,0.0,0.0,1.1210040684094823e-301,1.0,0.0
142,0.0,0.9983212503109764,0.0,2.52594641906984e-36,0.0016787496890236214
143,0.0,1.0,0.0,8.231225669879438e-19,2.0388299643074686e-17
144,0.0,0.0,0.0,5.039203311746665e-09,0.9999999949607967
145,0.0,1.0,0.0,7.353106751336953e-158,0.0
146,0.0,0.0,2.055065482873779e-21,5.368741790185748e-10,0.9999999994631259
147,0.0,0.0,0.0,1.4420190745737954e-18,1.0
148,0.0,0.0,1.0,2.2192285665954955e-48,0.0
149,0.0,0.0,1.2824441168911426e-34,3.6235760613064135e-06,0.9999963764239388
150,0.0,0.0,0.0,1.0,3.2087709505138936e-100
151,0.0,0.0,1.0,3.2767213278875075e-18,0.0
152,0.0,0.0,0.0,1.0,0.0
