cluster,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08,2020/04/09,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22,2020/04/23,2020/04/24,2020/04/25,2020/04/26,2020/04/27,2020/04/28,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06,2020/05/07,2020/05/08,2020/05/09,2020/05/10,2020/05/11,2020/05/12,2020/05/13,2020/05/14,2020/05/15,2020/05/16,2020/05/17,2020/05/18,2020/05/19,2020/05/20,2020/05/21,2020/05/22,2020/05/23,2020/05/24,2020/05/25,2020/05/26,2020/05/27,2020/05/28,2020/05/29,2020/05/30,2020/05/31,2020/06/01,2020/06/02,2020/06/03,2020/06/04,2020/06/05,2020/06/06,2020/06/07,2020/06/08,2020/06/09,2020/06/10,2020/06/11,2020/06/12,2020/06/13,2020/06/14,2020/06/15,2020/06/16,2020/06/17,2020/06/18
1,0.25394337336716305,0.21371336714608882,0.3294593330351324,0.17639209157811292,0.18516910013496074,0.18849394830397598,0.22701221622257034,0.2968768749217714,0.22428288283614492,0.1934424564434137,0.19770854373472968,0.18649379167060032,0.19786891975817483,0.22889544700842002,0.28956685401147736,0.22137698538007933,0.2145319071415763,0.20609733748250372,0.22973567384604285,0.21494923959734796,0.293707020658661,0.33457660138889117,0.3070053807679133,0.30903431886755145,0.3274924005914538,0.3174265289099149,0.36498405643834836,0.44653431726445403,0.4100795714497687,0.35742822629684007,0.3869513485460318,0.35365222156838694,0.37493409263972965,0.3768009806381838,0.39561712213544387,0.43233751073765403,0.3889524842819262,0.3704241536947938,0.3948105333288791,0.3982081364990526,0.37808715342469335,0.4422337230304246,0.47499835561587034,0.43064057544778783,0.42780152750601974,0.40426079113684565,0.4186497577841564,0.38586179981171265,0.39650103148479987,0.4839897596210035,0.410775171612582,0.3706569117725147,0.3616789908874534,0.3701671785585492,0.35531088339712696,0.3985103994641065,0.4325717098227812,0.3745227898631722,0.37302630602482756,0.3498575394109803,0.34592013643954633,0.34343913766220746,0.3764628545614589,0.38619918806631365,0.3669635344611376,0.33936341408021165,0.34027381916289956,0.331110618795926,0.347417138043325,0.3687021723651628,0.3998228340780974,0.3604620145333004,0.34866301677610884,0.36581923889750806,0.3428517886773972,0.3294937588315362,0.3287965154155333,0.348308627455906,0.36439523476848185,0.34418295152796735,0.3394011208532118,0.32597777808841094,0.30524519084209784,0.3202809306008324,0.40117912065449857,0.354170119937941,0.3389480819943491,0.3280613614473102,0.3028175088224933,0.3021526035072408,0.3052132694361677,0.3305919120449915,0.3591603985512142,0.30437363162819236,0.3068679426533386,0.3060324331490773,0.27981962085539364,0.3028676845031747,0.3392952584446723,0.32288218682226955,0.3176261931465582,0.2852517228537463,0.28528748613996874,0.27288867137396833,0.28268294639188474,0.32512832398625763,0.28920008292100763,0.2851542476577237,0.29692920715989457,0.29328607479595675,0.2873810475804976,0.2941763266543995,0.3198724789350755,0.29957123657384527,0.3158032782003984,0.28737419244766615,0.28748826858058824
2,0.27052255720290064,0.22461386691622962,0.34487776076335025,0.1899448560117528,0.20042237232428536,0.20162633325341758,0.24202382828860985,0.3144767801450294,0.24066126029681942,0.2115145984202709,0.21565761766249178,0.20473458803635292,0.21828700092344033,0.25263097434781423,0.3117728219240682,0.2397672642663825,0.2371784938325668,0.2268022957780698,0.25418363315731257,0.24172599595564168,0.3294468898175813,0.37016481725502987,0.35171439553942774,0.36656768297440573,0.3851584824233281,0.3752381863703814,0.426140172093299,0.4994207948638151,0.46435933638086874,0.419034937782315,0.44429801867590235,0.41055180796077007,0.4360650303157332,0.44079968025638994,0.4510566535885891,0.4848652961891654,0.45115122828531845,0.43469373337946077,0.4600659713026646,0.46160839812664756,0.44196217254776804,0.49196162177827035,0.5271775261320106,0.5024136544790876,0.49926310379602085,0.4756208736749358,0.4952749792596848,0.4567222918018154,0.4577618843933304,0.5513398972327499,0.4785006964267086,0.4459256273137515,0.4360022617946711,0.44420909184821145,0.4293686382290015,0.4644093338939139,0.4964656933503619,0.4430193842421907,0.43924107911412363,0.41970520288403274,0.41607118724430936,0.4141279748792747,0.4404508708394169,0.4512063004821047,0.4383958965321619,0.41206976557917585,0.41381584055261905,0.4051236858011473,0.411810163755483,0.42423758010513796,0.45964090365590077,0.42562957747930313,0.41577233254709844,0.4301315476228861,0.41162104469249217,0.39377758195081425,0.3855668722135937,0.40078138255560913,0.4308432820958949,0.40930619708818516,0.40584937088470835,0.3967725040179037,0.3670933182242824,0.37868660260796894,0.45387092505295024,0.41703385816097094,0.4040899228385701,0.39208338876207294,0.37054281404369066,0.3619712711232838,0.36115878226976483,0.3837189876935598,0.41440990514328413,0.3673719945757746,0.3702731541781265,0.3644947592420277,0.3335100405582104,0.3496764294827471,0.392816977232187,0.3837336228621271,0.38406006800925097,0.34596753205540265,0.34059541895596734,0.32664715662149246,0.3333990032473612,0.3684122365019348,0.342342486104339,0.33604915689325243,0.34815236237570796,0.34301542635245286,0.3338649311275997,0.33484627277519985,0.36388139246433965,0.34810366990532676,0.36563770830468506,0.33522206114818737,0.3351494532963784
3,0.2745704612639783,0.22592085571089154,0.3578148673766803,0.19453244079708082,0.20533853967698382,0.20405829723032598,0.24481695100443632,0.3208209907826132,0.24574989861355906,0.2179993335465038,0.22213504022275382,0.21232366631084676,0.22727077533602508,0.2673546884189175,0.32884560302493787,0.24926007287616714,0.2454305755028071,0.2387565794192035,0.2688584394209868,0.2641149833048917,0.36089750055630915,0.402961987985957,0.3876424511001478,0.42374149033211916,0.4402178512475709,0.4270010088304284,0.476447332982042,0.5415698159268458,0.5063257333387825,0.4669056561683749,0.49440875444946636,0.4623618271883192,0.4899442562323653,0.4942983485576365,0.5019797266296877,0.5315497310723496,0.5033704442263538,0.49020730781596666,0.5144478026767394,0.5174639449184677,0.49825804134159285,0.543041882708254,0.575624468173064,0.5620619594862508,0.5529532978645785,0.5281421930726273,0.5522116180319551,0.5113043526026106,0.5132692813674506,0.5972397738892373,0.5346730400868874,0.5067197295032158,0.4961782124008958,0.5081291910517588,0.48888143835441744,0.5166138523349938,0.5479646853682553,0.4979371353638701,0.49789756455264794,0.4761866041181059,0.47742855279045016,0.47580137736100314,0.49440303893927173,0.5047858910950226,0.501867291426212,0.4739528488782907,0.47348413666528283,0.4678321122135939,0.4700637454251868,0.47972793161888494,0.5134880777331319,0.48412231065158023,0.47981353742574884,0.49223843138700324,0.4766566807917491,0.45518699017787717,0.4425060590199077,0.4527533116719791,0.4954795716530167,0.4746156827165639,0.4679349517133168,0.4652144240295944,0.43058538504248756,0.435408253045596,0.5085170339362143,0.48321762842129085,0.4690418692545731,0.4561783639239427,0.43688224177194745,0.4200111005537407,0.4152302455980686,0.43328794717795005,0.4649476992105195,0.4305150899721048,0.43186469125658766,0.4252889216590829,0.3892059153769997,0.4033972438514,0.44622328522856064,0.4444646559867308,0.44778514533783137,0.4063325149847001,0.4005354240541665,0.38263270556417744,0.38149849060130847,0.41413314351530095,0.39691271136855516,0.39192396030088056,0.40025442580488024,0.39596273126178777,0.38287389912357256,0.3782522846573641,0.40515064685951213,0.398970706827968,0.4140224756049463,0.38408829745212625,0.38425498836735217
4,0.2785487341946491,0.23171202757875609,0.35613111286759874,0.20525169113478087,0.21804995469641655,0.21927123720261116,0.2530049363555731,0.3408129855677538,0.27418051292848433,0.25018355329116915,0.2599346943811681,0.24975824136719965,0.2653184844210978,0.3074047167421936,0.36314885795095037,0.2890067540650641,0.2828943621240094,0.27641612546331373,0.3043174129680321,0.30440398935625446,0.392915038393446,0.426721065293585,0.4089596199515632,0.4684131247113179,0.47986366431869887,0.46285447014550035,0.49515415526414475,0.5472247615607777,0.5134160207938234,0.48181941281232465,0.5162541743974353,0.4824259781974826,0.5079279982429056,0.5130340396727684,0.5165926987550877,0.5358239594142332,0.5202457348693682,0.5065868581804636,0.5530800532156844,0.5487709624995898,0.5347898191808219,0.5685622820868766,0.5891682069515335,0.5802502093666413,0.5691543929285631,0.546940780414996,0.5644951142598339,0.5327275817321739,0.5318915446914358,0.5976715951267609,0.5561404742084357,0.5334982872793452,0.5220402599552604,0.5231694773682343,0.513849885134571,0.5343572147776551,0.559380794327139,0.518407036282401,0.5264049394434641,0.5051756086020636,0.5048442146337089,0.5047916239692053,0.5180476544735443,0.519617683851681,0.5247000703642806,0.5002745668395929,0.5011582805422963,0.49816025121339075,0.5394221769824353,0.5405737989367727,0.5624106212226995,0.5492594134069971,0.5476748882192333,0.5566156673608323,0.5362548776324063,0.5216802446672957,0.507694383390278,0.51516101555822,0.5542374701195106,0.5296489575472215,0.5297349851250356,0.5303075292416127,0.4978787383030705,0.4887485596662504,0.5636126741268406,0.5406573792985989,0.5331130810169923,0.5252535130723698,0.507377234983426,0.4925085791924218,0.47858873390177,0.48431369798591195,0.515449951850603,0.4977835577519188,0.49879825780646975,0.5003912127840104,0.4665648719064294,0.47965746998649794,0.5155687415724296,0.5225139611231419,0.5229889443532784,0.48939498287319205,0.4807450477871195,0.4642610717225571,0.45373336615669796,0.4885345741916394,0.4813300934467752,0.4846326768036256,0.494164389876649,0.4919699602031921,0.4742342491007516,0.46637269645869284,0.490676795032231,0.49395208068311874,0.4963432807823834,0.4672573747714475,0.46914687266880395
5,0.2656338762274283,0.24806186327490962,0.32441940298225075,0.21982381369243337,0.22745746202644443,0.2294610674518641,0.24422967500340606,0.3260815608538313,0.28151919015658133,0.17168522268812444,0.1727284523196945,0.164543749045761,0.17764908592064316,0.19189230077207256,0.23496067322721897,0.19185171412722699,0.1965514719097554,0.18961170090653948,0.20480314281619283,0.19722846980096062,0.24573281493223284,0.267709211092801,0.2665826134179836,0.27691945282315156,0.27905066554410596,0.26204103557457153,0.2927523363940468,0.3341549693987474,0.3105279590757351,0.2756756759733889,0.30794973903295336,0.27782822854645545,0.2941618123150008,0.30292546924608255,0.3066405840725123,0.32655207771886663,0.30999983656574026,0.29801964433397193,0.3760319899307502,0.37523743182678826,0.35605637276275837,0.39567792449040023,0.4107218445865205,0.39735982062068465,0.38992812808256166,0.37200902676562136,0.38770564183837,0.35468118098044205,0.35901746475328783,0.4304217025187601,0.37862813375299803,0.3450572535667112,0.341120276978458,0.3401077452628438,0.33088004133871474,0.3609292172690744,0.39090336370189616,0.3425349401362876,0.3521072216215285,0.32884886957070936,0.3223166295672797,0.32941340905741245,0.3516577832912327,0.34315475709714804,0.34714967573024963,0.3244773867625896,0.3227424266915992,0.316322931371992,0.3879983079632483,0.3984086219170345,0.4220031206575297,0.39647889920956403,0.3918087142131337,0.4005194113083476,0.37498550572301864,0.3699764496611277,0.35896405569930223,0.36958856052019473,0.4023707302818205,0.3782556357911805,0.374043803448861,0.36866327644315533,0.34624942280525417,0.3512435188103264,0.4319434858511605,0.3962728920429573,0.3845544621047605,0.3784692807206253,0.3515588829569221,0.34881979801699986,0.3473176216672918,0.3570721618772274,0.38625440189621385,0.3482632076018183,0.3539520353916547,0.34965455234824244,0.323471567284192,0.33567624016800557,0.3717453289324438,0.3670544618068732,0.36868305388613826,0.33973553473113566,0.34001030144914407,0.331887955926842,0.33072547626475063,0.36650328065513904,0.3453241791550115,0.34215917278955205,0.3566705148260086,0.35438203303443117,0.3460352287730692,0.34647020607467083,0.3657073206121046,0.3596599084597227,0.37438752649859114,0.34195232592374974,0.3451794437353217
