,V4,V2,V3,V5,V1
0,1.2861831499941186e-06,0.0,0.9999987138168496,4.66386963702084e-16,0.0
1,1.0,0.0,0.0,0.0,0.0
2,0.0,0.0,1.0,2.1440634564006337e-23,0.0
3,0.0,1.1472986383602938e-233,1.0,1.712495209864434e-27,0.0
4,1.0,0.0,0.0,1.2214719329770598e-25,0.0
5,0.008061854144773508,0.0,0.9919381458552264,1.0547820284318678e-23,0.0
6,0.0,0.9991759829310694,0.00082401706893072,2.4481582028246262e-21,0.0
7,2.4869159821568105e-12,0.0,0.9999999999975131,1.1584449452446115e-22,0.0
8,0.0,0.0,0.0,1.3840260627104217e-77,1.0
9,0.0,0.0,0.0,1.0,0.0
10,2.2357008230021794e-198,0.0,1.0,1.8202855264399512e-20,0.0
11,0.0,1.0,0.0,2.9199012352555816e-22,0.0
12,0.0,1.2428643481889593e-183,0.9999999999991998,8.002377268251605e-13,0.0
13,0.0,6.785980157942943e-147,0.0,1.0,0.0
14,0.0,1.0,0.0,5.050092182137304e-20,0.0
15,0.0,1.0,0.0,1.8174184765855586e-18,0.0
16,5.316745746098687e-07,0.0,0.9999994683254254,1.0519379736949566e-22,0.0
17,2.60246734475677e-65,0.0,1.0,3.2088749456049275e-23,0.0
18,0.0,0.0,0.0,1.0,0.0
19,0.0,0.9808654195051686,4.974118345267206e-05,0.019084839311378533,0.0
20,0.0,0.0,0.0,1.0,0.0
21,1.0,0.0,0.0,4.907614416236299e-120,0.0
22,0.0,1.0,0.0,1.2385164922862182e-20,2.4468772883695465e-61
23,0.0,0.0,0.0,1.0,0.0
24,0.0,0.0,0.0,1.0,0.0
25,0.0,5.210032033441192e-251,1.0,8.397505961018823e-20,0.0
26,0.0,1.0,6.0625358702465344e-18,4.6829191059626335e-17,0.0
27,1.0,0.0,0.0,4.050017603717894e-209,0.0
28,0.0,1.0,0.0,4.443966688223964e-21,6.555484077087888e-91
29,0.0,0.0,0.0,2.0909512295048157e-98,1.0
30,7.924490824661629e-88,0.0,1.0,2.53675476977328e-20,0.0
31,1.0,0.0,0.0,0.0,0.0
32,1.0,0.0,2.4102297723963873e-171,3.4505682851736565e-23,0.0
33,0.0,1.0,0.0,1.4413445344459004e-22,0.0
34,1.0,0.0,2.4808836653918736e-48,6.664939501553343e-37,0.0
35,0.0,1.0567423409494383e-07,9.777427211253733e-241,0.9999998943257659,0.0
36,0.0,5.462688627479203e-235,0.9999999999999953,4.574136699859806e-15,0.0
37,0.0,1.0,0.0,8.550481719873239e-17,0.0
38,0.0,0.9999999811956942,0.0,2.5872962217527992e-17,1.880430567081942e-08
39,0.0,0.0,0.0,1.0,0.0
40,0.0,1.0,4.087928054119634e-20,2.5684559229734645e-23,0.0
41,0.0,0.999995141562621,0.0,1.5138378874179314e-22,4.85843737905306e-06
42,0.9999999999999893,0.0,1.0725121819726516e-14,1.804340620838121e-23,0.0
43,0.0,3.102891419236594e-06,0.9999968971085808,1.262090291752209e-17,0.0
44,0.0,1.0,2.2417751513073158e-24,7.502418622748476e-23,0.0
45,0.0,1.0,2.3525020484502876e-205,5.981846656325864e-22,0.0
46,0.0,0.0,0.0,5.628481329891455e-98,1.0
47,0.0,1.0,0.0,1.8904104665869822e-20,1.7023269653892538e-211
48,1.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1.0,0.0
50,1.0,0.0,0.0,7.028897899495648e-34,0.0
51,0.0,1.0,8.267280677614203e-164,2.679078579767127e-18,0.0
52,0.0,4.2123180161632433e-20,0.0,1.1002993160804917e-25,1.0
53,1.0,0.0,0.0,2.917453904924655e-113,0.0
54,0.0,8.112330780415253e-109,0.0,1.0320552233703544e-27,1.0
55,0.0,9.553178778139758e-57,0.0,6.909023952503768e-29,1.0
56,0.0,1.5186463395252927e-12,0.0,4.6129840099216385e-28,0.9999999999984814
57,0.0,0.0,0.0,8.052720479654734e-73,1.0
58,0.0,1.0,0.0,1.1238412631762982e-20,1.00255683615446e-177
59,0.0,1.8040107328128442e-49,0.0,2.3442803508724988e-29,1.0
60,1.0,0.0,0.0,2.5483406952236694e-66,0.0
61,0.0,0.9999999999839573,1.604261631089077e-11,6.417698951005823e-20,0.0
62,0.0,1.0,0.0,1.2837019604533118e-21,3.981314657791924e-72
63,0.0,0.0,0.0,6.559683171334824e-78,1.0
64,0.0,8.772094375235539e-51,0.0,0.06746517150230083,0.9325348284976991
65,0.0,0.0,0.0,1.0952441778218475e-56,1.0
66,1.0,0.0,0.0,0.0,0.0
67,0.0,1.0,0.0,1.0429404594139291e-23,0.0
68,0.0,1.0,0.0,4.617444502853465e-22,7.383254459487291e-258
69,0.0,1.0,0.0,1.3694512899553242e-21,1.2454352111073976e-24
70,2.1387372123488677e-12,0.0,0.9999999999978613,1.6881304353981076e-20,0.0
71,0.0,6.405099411083499e-06,0.9999935949005888,3.194644398480659e-22,0.0
72,1.0,0.0,5.749265121135527e-66,3.1221039912118776e-25,0.0
73,0.0,0.7972980648047671,0.0,6.441074679884957e-21,0.20270193519523286
74,0.0,0.0,0.9999999999999998,1.5060706156937833e-16,0.0
75,0.0,1.0,0.0,9.194624047010636e-24,1.1012836202078446e-193
76,0.0,0.0,0.0,7.674592034143527e-147,1.0
77,0.0,0.9988412386074499,0.0,7.541525919676285e-19,0.0011587613925502147
78,0.0,1.0,9.96822801387723e-43,5.80577801322244e-20,0.0
79,0.0,0.0,0.0,1.0,0.0
80,0.9994338390823736,0.0,0.0005661609176257041,5.981338300384481e-16,0.0
81,0.0,0.0,1.0,3.3906917501011558e-25,0.0
82,1.911070758814952e-159,0.0,1.0,1.0744835160021362e-16,0.0
83,0.0,7.482298813067142e-19,0.0,1.8408333356442954e-25,1.0
84,0.0,0.0,1.0,3.9070062421422883e-20,0.0
85,0.0,2.989703306326284e-50,0.0,7.410370954913114e-33,1.0
86,4.834219420087377e-252,0.0,1.1688254558465974e-297,1.0,0.0
87,1.0225753586327368e-188,0.0,1.0,4.125098562425575e-22,0.0
88,0.0,0.0,1.0,3.75485128934045e-21,0.0
89,0.9999999986475254,0.0,1.3524745059029335e-09,3.0598061298929157e-19,0.0
90,1.8623122260893003e-08,0.0,0.9999999813768777,4.8090262950675666e-21,0.0
91,1.0,0.0,1.1695278238866376e-86,1.1719870927784103e-36,0.0
92,0.0,1.0,0.0,1.5845330264654476e-20,3.0521147080301665e-17
93,0.0,0.9999999962365065,3.763493592615886e-09,3.1381245724595276e-18,0.0
94,0.0,1.0,0.0,1.091345446677158e-22,0.0
95,0.0,1.0,0.0,2.20187121776282e-22,3.4642618148533185e-297
96,0.0,1.0,0.0,4.089307236312008e-21,2.3411327167100352e-35
97,0.0,0.0,0.0,1.0,0.0
98,0.0,0.0,0.0,1.0,0.0
99,0.0,0.0,1.0,8.743048041681106e-29,0.0
100,0.0,1.0,1.64769877681865e-71,2.6668484586339585e-22,0.0
101,0.0,1.0,2.254891629617618e-192,2.2997590810422863e-22,0.0
102,0.0,0.9999999526235281,1.2460968180867937e-19,4.73764719164224e-08,0.0
103,0.0,0.0,0.0,1.0,0.0
104,0.8967960414694736,0.0,0.10320395853052639,1.694719303422548e-19,0.0
105,1.0,0.0,0.0,6.3586622448109604e-28,0.0
106,0.0,1.0,0.0,7.786094198616265e-21,0.0
107,0.0,2.1250678137751048e-263,1.0,1.2977187059858871e-21,0.0
108,3.182587335206052e-32,0.0,1.0,5.648699530123577e-21,0.0
109,2.9773640068780887e-47,0.0,1.0,1.129367708425768e-24,0.0
110,3.866185290658676e-307,0.0,1.0,9.836127058829485e-20,0.0
111,1.0,0.0,1.967031579158391e-27,6.845255663320735e-34,0.0
112,0.0,0.0,0.9999994720690808,5.279309190973984e-07,0.0
113,0.0,0.0,0.0,1.0,1.0245416305322925e-65
114,1.0,0.0,0.0,1.1534166421276382e-24,0.0
115,0.0,1.0,5.7897443983609096e-65,4.119936287487569e-22,0.0
116,0.0,2.1094356355027216e-27,0.0,4.557439471331573e-19,1.0
117,0.0,0.9999999999948015,5.1984938760957875e-12,2.1166027613945228e-21,0.0
118,0.0,0.0,0.0,2.2374943554374638e-46,1.0
119,0.9974318885456381,0.0,0.002568111454361783,1.2921894779799646e-21,0.0
120,0.0,3.867421199349342e-84,1.0,7.20265435988194e-18,0.0
121,1.0,0.0,0.0,2.1463631082854345e-58,0.0
122,0.0,1.671891742540287e-170,0.0,2.0315899013081253e-20,1.0
123,1.0,0.0,0.0,3.423769620891298e-76,0.0
124,0.0,1.0,0.0,7.976778444622423e-18,2.5905504483061167e-75
125,0.0,0.9994696645176286,0.0,0.0005303354823714013,3.550957839465551e-294
126,0.999999999826376,0.0,1.7362407049884784e-10,5.50620873352978e-20,0.0
127,0.0,0.0,0.0,1.0,0.0
128,0.0,0.0,0.9999999999999931,6.8447209174773936e-15,0.0
129,1.0,0.0,0.0,4.674729404081808e-294,0.0
130,4.15851992493684e-05,0.0,0.9999584148007507,8.959247597192471e-21,0.0
131,1.0,0.0,3.1589738292663613e-31,2.9354040662899613e-20,0.0
132,0.0,1.0,0.0,6.298726977585553e-18,4.627785648373385e-19
133,7.251565008854214e-179,0.0,1.0,3.2784720576679133e-21,0.0
134,1.0,0.0,2.3757950570978312e-21,8.01518733670812e-24,0.0
135,7.518705250310011e-128,0.0,1.0,3.431145396467931e-27,0.0
136,0.0,1.3402291284035472e-296,0.9999999999999991,7.838620515088833e-16,0.0
137,4.2185401496940264e-209,0.0,1.0,9.435064891764481e-19,0.0
138,1.0,0.0,0.0,6.0029059510539615e-77,0.0
139,0.0,1.0,0.0,2.0658354776599883e-22,0.0
140,1.0,0.0,2.2144359873638728e-24,1.7094948504894303e-29,0.0
141,0.0,0.9999999999999989,1.1319577786088471e-15,1.2760621422662192e-19,0.0
142,0.9999999999470051,0.0,5.29949171774045e-11,3.687885826312509e-19,0.0
143,0.0,0.0,0.0,4.2325525276971754e-70,1.0
144,1.0,0.0,1.8146361793163177e-79,1.764923637229752e-32,0.0
145,0.0,1.8405269708061125e-40,0.0,2.5445500544832023e-31,1.0
146,2.2351185443007895e-31,0.0,1.0,2.4059650836174405e-19,0.0
147,0.0,1.0,1.4002903842628624e-187,2.536207451107074e-19,0.0
148,0.0,1.0,5.2162758747076324e-17,3.254394380762063e-17,0.0
149,0.0,1.0,0.0,5.806946753811326e-23,6.195664009006614e-97
150,0.0,0.0,3.494520247107814e-194,1.0,0.0
151,0.0,5.500926333371641e-53,0.0,1.5982600671285764e-38,1.0
152,0.0,1.0,0.0,4.090754767959802e-17,0.0
153,0.0,0.0,0.9999993544965605,6.45503439523719e-07,0.0
154,0.0,0.0,0.0,4.588286006457627e-112,1.0
155,0.0,0.0,0.0,1.0,0.0
156,0.0,1.0,0.0,8.163685783545348e-18,0.0
157,0.0,0.0,0.9999999999999998,1.8705195360965407e-16,0.0
158,0.0,1.0,0.0,9.226864340402358e-20,3.5959412042841174e-37
159,0.0,1.0,0.0,9.853251831228702e-21,0.0
160,1.0,0.0,3.6731653047385504e-77,1.0627562525642277e-22,0.0
161,0.0,0.999999999999589,4.109915179444705e-13,7.178805786646677e-18,0.0
162,0.0,1.0,6.8893068741528375e-99,3.1436957637803024e-25,0.0
163,0.0,0.0,1.0,4.246915367667433e-27,0.0
164,0.0,1.0,0.0,1.7789466756267865e-24,7.037097748934162e-238
165,0.0,0.0,0.0,1.7553058498513508e-09,0.9999999982446941
166,0.0,1.0,3.368951779212719e-68,4.478808211544827e-22,0.0
167,1.0,0.0,0.0,9.307082438121677e-22,0.0
168,0.0,0.0,1.0,2.2434090990984034e-23,0.0
169,0.0,1.4238938872870403e-15,0.9999999999999987,1.4606796349068652e-17,0.0
170,0.0,0.0,1.2462378015971908e-217,1.0,0.0
171,0.0,0.9999496064297705,0.0,1.1835699548553459e-21,5.0393570229488665e-05
172,1.0,0.0,0.0,9.758945289448086e-26,0.0
173,1.0,0.0,0.0,1.2997631210892429e-248,0.0
174,1.0,0.0,0.0,2.452209121437279e-87,0.0
175,0.0,1.0,1.4627009120851978e-270,1.9724777751456542e-19,0.0
176,0.0,1.826370680633782e-32,1.0,2.038703262727985e-20,0.0
177,0.0,1.0,0.0,1.4793771945916698e-19,9.42070491890002e-40
178,0.0,1.3721999709440438e-11,0.9999999999861158,1.6226064135024438e-13,0.0
179,0.0,5.779205868904977e-58,0.0,1.0,0.0
180,5.726679651651043e-48,0.0,6.363134871196866e-13,0.9999999999993636,0.0
181,1.0,0.0,0.0,1.4147337417080614e-22,0.0
182,1.0,0.0,0.0,0.0,0.0
183,0.9710077549029527,0.0,0.02899224509704723,3.28452194971879e-20,0.0
184,1.0,0.0,0.0,0.0,0.0
185,0.0,1.0,1.5053674608877362e-269,5.075405727467571e-17,0.0
186,0.0,2.9576513228107117e-22,0.9999999999999925,7.506548500813042e-15,0.0
187,1.0,0.0,0.0,9.89930619718219e-69,0.0
188,0.0,2.7062031215842714e-57,0.0,2.9680429128093856e-29,1.0
189,0.0,0.0,1.0,5.972514227716836e-17,0.0
190,0.9993386686721621,0.0,0.0006613313278378207,2.9735803890582147e-30,0.0
191,0.0,0.0,0.9999999999999996,3.702761503472867e-16,0.0
192,0.0,2.306518680902269e-238,1.0,1.9433941899721048e-29,0.0
193,0.0,0.0,1.0,2.6423010829874467e-27,0.0
194,0.0,0.9771025582905686,0.0,1.3036365808620426e-16,0.022897441709431258
195,0.0,1.0,0.0,6.235907333165834e-18,0.0
196,1.0,0.0,0.0,2.349921233319871e-52,0.0
197,0.0,2.7980270712587057e-146,1.0,9.20782012022661e-21,0.0
198,1.0,0.0,0.0,6.603258792350722e-72,0.0
199,0.0,3.413182834279731e-129,1.0,3.1203379886807934e-24,0.0
200,0.0,0.0,0.9999999999999998,3.2854272950794763e-16,0.0
201,0.0,0.03771779304173776,0.0,1.934783877620183e-20,0.9622822069582623
202,0.0,6.504851826218732e-26,1.0,1.2645227690161983e-22,0.0
203,0.0,2.0070207794018836e-52,0.9999999999999998,3.245200908480872e-16,0.0
204,1.0,0.0,0.0,7.736486766100949e-113,0.0
205,0.0,1.5539092123485134e-139,1.0,4.068061636776222e-18,0.0
206,0.0,0.0,0.0,1.0,0.0
207,0.0,0.0,0.0,4.822364786410892e-225,1.0
208,0.0,0.0,0.0,2.8179498737150584e-160,1.0
209,0.0,0.9999989275020763,1.072497631506238e-06,2.9225325521119676e-13,0.0
210,0.0,0.0,0.0,1.0,0.0
211,1.0,0.0,0.0,4.801083274189353e-28,0.0
212,0.0,0.0,0.0,1.0,0.0
213,0.0,0.0,1.0,6.480594786539442e-23,0.0
214,0.0,0.0,0.0,1.0,5.353684769965759e-35
