cluster,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08,2020/04/09,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22,2020/04/23,2020/04/24,2020/04/25,2020/04/26,2020/04/27,2020/04/28,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06,2020/05/07,2020/05/08,2020/05/09,2020/05/10,2020/05/11,2020/05/12,2020/05/13,2020/05/14,2020/05/15,2020/05/16,2020/05/17,2020/05/18,2020/05/19,2020/05/20,2020/05/21,2020/05/22,2020/05/23,2020/05/24,2020/05/25,2020/05/26,2020/05/27,2020/05/28,2020/05/29,2020/05/30,2020/05/31,2020/06/01,2020/06/02,2020/06/03,2020/06/04,2020/06/05,2020/06/06,2020/06/07,2020/06/08,2020/06/09,2020/06/10,2020/06/11,2020/06/12,2020/06/13,2020/06/14,2020/06/15,2020/06/16,2020/06/17,2020/06/18
1,0.2412583759649198,0.18361156273173324,0.3149511635349969,0.165826262747524,0.15808505709101903,0.15855515555558367,0.18865902573805335,0.2558729027660692,0.20057078014273005,0.16881980395352572,0.19656633124443185,0.16767104670381042,0.1540634047263157,0.17817230002719137,0.22193529092992165,0.1747656176379441,0.1684741923998444,0.1595862263786721,0.19258148248115117,0.17192670001740729,0.21521464495176854,0.25028000656637506,0.21972020891978117,0.22967449493451314,0.2282751960947898,0.23395949391760099,0.26471177039468846,0.3432826349538426,0.33357960758724176,0.2412822082115206,0.24861346400950865,0.2262177223337304,0.2540452086740474,0.2574040697655141,0.2995981100629493,0.3280300682679249,0.2945322826952355,0.27602445206581994,0.3005131433462364,0.3108460400472342,0.31552933569867186,0.3788640068389104,0.39200160858790084,0.3130754623943608,0.3056001868286195,0.29758521901969626,0.2955699945412776,0.2918564361935504,0.32874629331419486,0.378794229566109,0.3115678616876858,0.29010495203724,0.2672834647906545,0.26986883882214796,0.2658650277264183,0.29537122321919457,0.34319040278624907,0.28654241830778887,0.26405128822259283,0.2735735847042492,0.24111268761289914,0.2346931091299717,0.2607941213238121,0.2836933128766636,0.25042481947774725,0.2694285671067524,0.25644271127861173,0.23269007570116507,0.23712560421498566,0.2513576741865578,0.3037299500856307,0.25935004863872957,0.25679909452003585,0.23640642283211036,0.2441395505472433,0.24442597573360403,0.22707755286947276,0.25067371392347626,0.248576843866068,0.2461023642461483,0.23487081030991636,0.23202475493298866,0.23913145174094913,0.2707667595806972,0.26664806606724817,0.21979873662626187,0.2330633720018218,0.2234997387077984,0.2160488794910334,0.2051523574320393,0.23008284204877485,0.2832223580203012,0.2972598950160537,0.22308079876102863,0.21868028732535819,0.2181182018510155,0.19192796056528064,0.19333635616664974,0.25807366026264855,0.21884142495421738,0.21343568208077693,0.2020801718780615,0.1882962587290138,0.1873087969626715,0.21193261507459693,0.24409493533254228,0.19903894159601498,0.20271403235520002,0.2101907762008925,0.20541938473036753,0.21156328044888265,0.21133191546074595,0.2424193724357386,0.2154767552121993,0.23602372255664525,0.20719643462174503,0.2038499318987172
2,0.26420326662646654,0.20885631131011803,0.3249771105318288,0.18568373132869967,0.18059539689016824,0.18499425009208045,0.21432975828595915,0.28527034166206666,0.22204892194888798,0.2002924188517235,0.23194874756977105,0.20086334981379372,0.18719927596144742,0.2144766267664075,0.2580541271715142,0.21177103094701574,0.20764236530961983,0.2014659203894377,0.23599317775384912,0.20986523176945357,0.2588703179833933,0.29335779768496023,0.26746547823473865,0.2795051462274076,0.282255834279726,0.2872479752235644,0.3164168033863157,0.3945494616084298,0.39059876736932364,0.30047569242945765,0.31317163574936324,0.3020252502414354,0.3325570495617783,0.3349072678782932,0.3627241987604376,0.3970606529777882,0.36406462218859137,0.34197572472967785,0.3697548263015901,0.37818495931247387,0.37662896459699824,0.43863411377702854,0.451746483964113,0.38354076853670444,0.37571471789003824,0.3683986511034572,0.3630097242708433,0.35889076708187817,0.3881377642313631,0.4421269368850854,0.3779949393990586,0.36088757598521415,0.3445689254756616,0.34219107817454136,0.33244737260753404,0.3608842520402914,0.40474216773207294,0.3606746190546034,0.3305114110574415,0.3352415115077737,0.30958476932857404,0.29840440431624016,0.3256750396467723,0.34787111902431994,0.3189920058852415,0.3357499837743377,0.3189782025333871,0.29758939459156347,0.29720413433231374,0.30476458496963327,0.360955642425636,0.323552512456952,0.3178736701653508,0.29643813961109816,0.30136405252905213,0.29955302399883327,0.27838703642140505,0.29847553960064827,0.30614442253962687,0.3053161710958991,0.29199195340595135,0.2923908168972247,0.2903116897114501,0.32035366334959,0.32011816356186146,0.28474761152292727,0.29337270147563693,0.2805271052164384,0.27091449676244006,0.25684540735714334,0.2771334047121217,0.33502199777288744,0.3451254583542786,0.27449850921002183,0.27826477598987126,0.2734078938753235,0.24634750060174426,0.2390253296563421,0.3120558300244654,0.27469624785950286,0.27143005509161067,0.25587025617584974,0.24276024158819762,0.23773156347723554,0.25747748124687325,0.29335104859778455,0.2543633649468447,0.25643964835066274,0.2606262933705287,0.2601808391249133,0.2617410854737349,0.25788625603340964,0.2920898639001451,0.2692988473886165,0.2896444562777297,0.25851710646688647,0.25605875823818364
3,0.27303203740479687,0.2175289088535916,0.3322300908486126,0.1920088968956145,0.18607268273780406,0.1923744301140638,0.22587969430672863,0.2976871993363794,0.23030610864488982,0.2105619559132118,0.23875992320835535,0.20886592276632063,0.19785063085711133,0.23177917093006115,0.27691626475836156,0.22924633270052625,0.22349642352688406,0.2202217703779573,0.24944016537032876,0.22986131872914695,0.2837671819270651,0.32491636817487557,0.2973025261566062,0.31608754397903016,0.3239525034274848,0.3316978487497299,0.3593182284475139,0.4356902148655318,0.43478155490842074,0.35114929395658223,0.3660385787848073,0.3733521375399154,0.401007924505283,0.40097184847107287,0.4174421370798985,0.45354774353937544,0.42551558655246813,0.40052737822934564,0.42396916084292813,0.4371110552958247,0.4289557713869571,0.4862294741243182,0.5015711207894928,0.44539933870774395,0.43512748029392423,0.42993863601462534,0.4239141917887151,0.4085177189073991,0.43870203239846034,0.49235797965711525,0.4363495753161326,0.42143376702505986,0.4075560109596804,0.40453434600530125,0.39159792757249134,0.41310940073355346,0.46149875703915577,0.41878413661485836,0.39121938101224374,0.3927668707160127,0.36884144870349933,0.3541304451685063,0.3752112842084939,0.39964368582126697,0.37782688413148435,0.39420140410834625,0.37712952952931783,0.3534401253659043,0.3475302645918088,0.35102701959012805,0.4079955714923885,0.3766006419177749,0.3698711481217507,0.3488298335449997,0.3551986034921152,0.3445030002170373,0.319960385990268,0.3393099255664195,0.3580572585325278,0.3564973136877147,0.34089730993782996,0.3395948860007747,0.33605409272034187,0.36417426338801273,0.36380059450767105,0.33558659660742574,0.34030982580387814,0.32691701341839113,0.31701720913296366,0.2949626945734373,0.31199440227358183,0.37405576649017774,0.3824389265125178,0.3192320361017319,0.3214717920298594,0.3133979845356373,0.2866602805510965,0.2725011553767142,0.3482893138829445,0.3130381838863383,0.3153376892831455,0.29772201388812897,0.28270615705473096,0.2723833948188431,0.2896543275206277,0.32929963596900297,0.29601921418021093,0.29819397739220865,0.30258040538853553,0.3002562581113819,0.29526108500398585,0.28737413613058205,0.3271374130367889,0.30988202809944587,0.3257199461527475,0.2949853514589806,0.29390710582326557
4,0.287564235453651,0.22475875268080203,0.35014649078442317,0.20108353438671797,0.19474674073547588,0.19918315055010696,0.23739082169175202,0.31039133712604133,0.23984645353017517,0.22138033082153688,0.25057308740701534,0.22228787499710617,0.20929468427796308,0.24746864266470708,0.29548574811855743,0.2440005018268035,0.2367019276033167,0.23408313628249314,0.26460114912808036,0.2575776498237705,0.3164006729742062,0.366959763629868,0.3362573846973139,0.3685875012656715,0.3775709828190917,0.38989547407457115,0.41848282523765706,0.4833273826680903,0.48173360227167694,0.4112516517022306,0.4262860275825129,0.43944165115230427,0.4658458159628825,0.46251193183214423,0.47104847247801235,0.5046771870595941,0.4931523004428539,0.46244585055950177,0.4891874708742812,0.503885801871731,0.4966590569963433,0.5397639816973786,0.5507281994031806,0.5125710034448918,0.501164989869279,0.4972508084131908,0.49081069509766206,0.4656665031069799,0.4962946379275442,0.5504394836341022,0.501147086465184,0.4904143159450786,0.4782741426687204,0.4746132600324734,0.45996844385207025,0.4761689149906506,0.5202857786629539,0.48446115678060553,0.46036853360373187,0.46713661911462595,0.438823469862604,0.4243092606241536,0.4362855635726618,0.4618557689660713,0.452460937712253,0.4654363406964278,0.4445463720304868,0.4255094321094657,0.4144990003411297,0.40877056606332096,0.4697483435398988,0.44518006044313246,0.4363495274457122,0.41254020280753656,0.42655517264965453,0.40654146410709413,0.3732857126451993,0.39926007920179307,0.4267384580138671,0.42775840839658863,0.40679770281571237,0.40417760278504644,0.3991353479552836,0.42254741812156876,0.4199969046280467,0.39926335193172435,0.4008019621452815,0.3858185320035342,0.3750853441884373,0.35162597803219775,0.36175745013267535,0.4212867632773488,0.4354483674518141,0.3769691625307619,0.37696583656048627,0.3664520014976875,0.334418068627521,0.3167493420889391,0.3916645259418576,0.3651937726738873,0.36653631942261683,0.34938235592462635,0.33484700600140566,0.32115923610305713,0.3313751285326223,0.3702940146200799,0.3460581570367341,0.34717248379313903,0.3431274541702508,0.34683175179638176,0.3352645761650943,0.3249859923413224,0.3686572774569647,0.35575833313513433,0.3691324902566861,0.3401019289937783,0.3372234599387474
5,0.26330853787252056,0.22727218439729974,0.30118314277519964,0.20945343069179603,0.20096484521333902,0.20898162390755223,0.22981818269133206,0.3021088149017665,0.2617316360069204,0.20080070490499438,0.21990394285331202,0.20536788177136253,0.1943118598006031,0.2089038127639064,0.23992837745053533,0.20813466165888816,0.21073290783937212,0.20662685628725283,0.2248049548761574,0.20992340592073672,0.23807658607168913,0.2585659482609947,0.2463030100654361,0.26623296795214757,0.26249074613620355,0.2600662442209169,0.28160364676313276,0.32495886254814954,0.32329622711921113,0.27129971761652416,0.28230650948498853,0.2749939105916708,0.2997719510826329,0.2973675455212476,0.31308462685692723,0.3353725364401831,0.3158116305098903,0.30043979205892857,0.379224401679199,0.3783601809051003,0.372337844781975,0.4134839478772003,0.42251668708432766,0.37913164165131,0.36440331822682576,0.3562599547190007,0.3438310272188519,0.33670193641860363,0.35189532287345826,0.39360551621959455,0.35990385311567213,0.3479061718444295,0.33792972788426445,0.327645230653592,0.31869636589430056,0.3331260466930265,0.36741852445167955,0.34137420236637256,0.3222714188085932,0.31994655357241014,0.30510299209097386,0.29561358158272094,0.31117598133973323,0.32437909676073634,0.30927770834669854,0.3200767780083772,0.3064704462486182,0.2948413591243197,0.34908465326442933,0.3525066516768172,0.39626422562559244,0.3702532604460827,0.3669788647667452,0.34199719611100693,0.34264405068156095,0.3425525562093431,0.3261792898968977,0.340704014751143,0.34329262502616265,0.3395714380462568,0.32737576954670905,0.32939686258311685,0.31986942722531375,0.33836515559423724,0.3578740780168404,0.33464482874362406,0.3392551912140852,0.3300358376838513,0.3208644223619026,0.3063955069636195,0.3188611135685981,0.36092987535642146,0.368609348332806,0.3193475018972233,0.31936375534277694,0.32125565947128687,0.30216168462211007,0.2951658380230519,0.3628607640120878,0.33759651756133924,0.33323573519667504,0.3206816102913157,0.30447237881068284,0.30174993411061546,0.3164874168480872,0.3453446408657873,0.32379929144578506,0.33093875737012524,0.342877820852812,0.3501250263232512,0.34430014103157874,0.34048214424342893,0.3675669806643876,0.3612588536943009,0.36218568816156993,0.3323571676896536,0.3252337785423577
