,V2,V4,V3,V1
0,0.0,0.0,1.5913522437181663e-64,1.0
1,1.6672085157542033e-31,0.0,2.823896003660687e-22,1.0
2,7.581002059977805e-44,0.0,1.7714263054693615e-16,0.9999999999999998
3,0.0,0.0,1.3508702069213826e-34,1.0
4,1.0,0.0,1.6581825407200816e-26,0.0
5,0.0,0.0,8.836787762070289e-45,1.0
6,0.0,0.0,1.695035080203225e-26,1.0
7,0.0,1.0,3.487197990444337e-24,0.0
8,4.165310000339579e-06,0.999995834689924,7.576647288557237e-14,0.0
9,0.0,0.0,1.0,0.0
10,0.0,0.0,1.0,0.0
11,1.0,2.6530083494113667e-37,2.7088054228797387e-52,0.0
12,0.0,0.0,7.842257151701695e-105,1.0
13,2.7765154506868192e-80,0.0,1.3158156685266175e-20,1.0
14,0.0,0.0,0.0,1.0
15,1.0,0.0,1.357797765061457e-21,0.0
16,4.013258164797163e-157,0.0,2.842419990603961e-28,1.0
17,1.0,0.0,4.811162810725783e-22,0.0
18,1.0,0.0,1.6531921850196978e-22,0.0
19,0.2712392539355204,0.7287607460644796,1.077418700475446e-42,0.0
20,1.0,0.0,5.219168924858716e-74,0.0
21,1.0,0.0,9.423732430845712e-24,0.0
22,0.0,0.0,2.661475514084692e-175,1.0
23,4.467059483763454e-34,0.9999999999999971,2.9777114608982118e-15,0.0
24,0.0,1.0,3.180053910397391e-66,0.0
25,1.0,0.0,9.346107116696994e-76,0.0
26,0.9999999993770052,6.229937044494352e-10,1.1449241985604161e-15,0.0
27,0.0,0.999308375511934,0.000691624488066037,0.0
28,0.0,1.0,2.475439980552812e-26,0.0
29,0.0,1.0,2.1099771225646322e-24,0.0
30,0.0,1.0,2.2726879963107605e-21,0.0
31,0.0,1.0,2.884118249517819e-17,0.0
32,0.0,0.0,1.3006824069236715e-44,1.0
33,1.0,0.0,2.9889554945397566e-54,0.0
34,0.0,0.0,2.605614369696528e-25,1.0
35,0.0,0.0,2.155026402212797e-154,1.0
36,1.0,8.352684128718868e-74,1.0580800671331205e-71,0.0
37,1.0,7.551611289776615e-117,1.1385037858362719e-20,0.0
38,0.0,0.9999999999909737,9.026350463383193e-12,0.0
39,0.0,0.0,1.0,0.0
40,0.0,0.0,3.289044379326793e-207,1.0
41,3.5617150798531636e-88,0.9999999999999873,1.2604170424893667e-14,0.0
42,6.074424747956025e-93,0.0,1.0,0.0
43,0.0,0.0,1.2747799325685318e-49,1.0
44,0.0,0.0,6.098926778659068e-38,1.0
45,1.0,0.0,1.1563497661612715e-49,0.0
46,1.0,0.0,1.7173821582886293e-88,0.0
47,0.0,0.0,1.4835930838440546e-34,1.0
48,0.0,0.9999999998751539,1.248461110555651e-10,0.0
49,0.0,0.0,4.780728094258556e-96,1.0
50,1.0,1.1053664500523685e-19,5.854489726840076e-34,0.0
51,0.0,0.9999999999999998,2.5512972364307377e-16,0.0
52,2.1352870982576662e-12,0.9999999999978648,6.860607053583626e-17,0.0
53,0.0,1.0,1.0599860224590169e-17,0.0
54,0.0,0.9999999994949855,5.050144413380397e-10,0.0
55,1.0,0.0,1.6296875429744384e-37,1.1461221309959685e-223
56,0.0,1.0,7.040380148699669e-34,0.0
57,0.0,1.0,5.70375936253871e-18,0.0
58,0.0,0.9999999999999993,5.59428480506783e-16,0.0
59,0.0,0.0,3.241293333373038e-67,1.0
60,0.0,1.0,6.95024200509295e-27,0.0
61,0.0,1.0,1.2602990012490332e-100,0.0
62,1.0,6.138507194198768e-101,3.146225928447765e-29,0.0
63,0.9726694535670273,0.02733054643297284,8.064585262059999e-64,0.0
64,2.9769455639749147e-23,0.9999999988527761,1.1472238761806815e-09,0.0
65,0.0,0.0,3.00790709706234e-40,1.0
66,1.0,0.0,8.71983945933763e-21,8.872561114179848e-28
67,0.0,0.0,4.157367216439325e-84,1.0
68,0.0,1.0,3.40217740727718e-107,0.0
69,0.0,0.0,3.033709613764235e-19,1.0
70,1.0,2.2331267347046156e-207,1.7726519052972103e-50,0.0
71,0.0,0.0,5.458531004115481e-51,1.0
72,0.0,0.9999999942542328,5.7457672456092286e-09,0.0
73,0.0,0.0,1.0254353305976549e-57,1.0
74,0.008165566620984516,0.0,5.227732704214093e-18,0.9918344333790154
