cluster,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08,2020/04/09,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22,2020/04/23,2020/04/24,2020/04/25,2020/04/26,2020/04/27,2020/04/28,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06,2020/05/07,2020/05/08,2020/05/09,2020/05/10,2020/05/11,2020/05/12,2020/05/13,2020/05/14,2020/05/15,2020/05/16,2020/05/17,2020/05/18,2020/05/19,2020/05/20,2020/05/21,2020/05/22,2020/05/23,2020/05/24,2020/05/25,2020/05/26,2020/05/27,2020/05/28,2020/05/29,2020/05/30,2020/05/31,2020/06/01,2020/06/02,2020/06/03,2020/06/04,2020/06/05,2020/06/06,2020/06/07,2020/06/08,2020/06/09,2020/06/10,2020/06/11,2020/06/12,2020/06/13,2020/06/14,2020/06/15,2020/06/16,2020/06/17,2020/06/18
1,0.2164136914184007,0.17661609091506927,0.3509776319714851,0.15440034040462805,0.14123222498143212,0.14698236418976932,0.1760384308957248,0.23351463713364046,0.1869888369407672,0.16048487194195454,0.18240818881669976,0.17127588257926374,0.1378396269163145,0.17334520255876057,0.19586712153552602,0.1461823927067502,0.15064682825342893,0.1360378891791712,0.15970939164102874,0.13812636964690783,0.1887350540850816,0.21937460099400577,0.19044227535587238,0.21084103672456314,0.20024451703774845,0.1990998905837567,0.2123030834102865,0.2815590144704651,0.3060113830875167,0.2437961403000813,0.2532178752472078,0.21703229033256882,0.22473982516806387,0.22126428624592234,0.2489618150532555,0.29430293895534426,0.2512285533300682,0.2687575482723726,0.2534029504135625,0.250061767474963,0.25899201218785245,0.32193585331512276,0.35110790419782845,0.29027229162438184,0.29427234765582794,0.27716112051485686,0.2695600761238044,0.24798240063595253,0.2689884938473972,0.3761351452131669,0.286976736260665,0.2506823110208511,0.2495366526870565,0.23642509579548301,0.22157829516272126,0.2541648459485169,0.3731482565514871,0.2694831650720091,0.22900771796112068,0.22830594255506928,0.28776519088628033,0.21411942369388798,0.2366276734481631,0.2835944247275209,0.2209539475348466,0.21586170616011138,0.23882473023491213,0.2090491235655558,0.22117794906695365,0.23012312575446855,0.26674970208272225,0.23504580466105007,0.23253895785132558,0.21841058537031816,0.21955513632908533,0.2048289737835169,0.2110187657452604,0.23546859091481945,0.21143108316212936,0.20349866694193014,0.20677851141786333,0.188439213971622,0.186635145018914,0.19496772559580763,0.2547754750449112,0.22636466556123996,0.21395313297899315,0.21760263396841636,0.1921986405515433,0.18666620359902852,0.2014862325548025,0.22509847843735054,0.24403624142618274,0.20632077522678302,0.20226688044927923,0.19879608130363377,0.1740647909154093,0.20002808311355216,0.23116751720407047,0.1981525707959165,0.18862203277950557,0.18035078331301183,0.18514362638655651,0.1866693209826657,0.20571095763236721,0.24650915286129482,0.19767150546695636,0.19088246220812738,0.20244901820291478,0.19018744856847306,0.19754048128126825,0.18283374788235537,0.22738452669252918,0.20815766363938706,0.20748844789166437,0.1863875945076217,0.18335755823611055
2,0.24894279536275418,0.20739365905986099,0.35450639312018783,0.17839509934209347,0.1666419305908043,0.17396776786753493,0.20837765048680731,0.2679514616987677,0.22073645589444246,0.19674574836848416,0.2170353416992134,0.19641866012726847,0.16984223793308084,0.20912143443687414,0.2351870574101767,0.18278151783271843,0.18690407418633712,0.1716352325589728,0.20118378008092358,0.17986412061670903,0.23951091396211532,0.2744313898607408,0.24454819477238304,0.2669924168075081,0.25852685298771705,0.25558964601594336,0.27024298039805567,0.3356918902389495,0.36032331748719515,0.30783620536103967,0.3206260475743644,0.2752451488265442,0.28686167081681363,0.28070300656086844,0.3080496404093158,0.34962339689126465,0.3098771953721467,0.3315646753238534,0.3127593729769487,0.3092510989806957,0.32027237955533144,0.3818286795573189,0.4061639980989156,0.35390377611025714,0.35937619989103214,0.3361409485531728,0.33127277251747234,0.30548516961782723,0.32740137355368804,0.4416389469381697,0.3491317284754777,0.3148818230192524,0.3106194153619505,0.30009069047089104,0.28661862155092244,0.3129527608797448,0.4247883466833707,0.3288105327763717,0.29332960497680066,0.28593649168415286,0.34634519943649905,0.26974643822705513,0.2913263382408096,0.338386742611086,0.2773372436219449,0.2710492508445834,0.2994689841867316,0.261594242128949,0.26855287527482163,0.2723734406146982,0.31537010112784564,0.28618434062866355,0.28817583641711064,0.2714199315075603,0.2659688837823491,0.2597877533486352,0.2529313792921666,0.28005541209992174,0.2635778118074078,0.24935855803783555,0.25892065378099605,0.23641833632179118,0.22865072538807912,0.2321546987858963,0.2998657077575191,0.27276946481387637,0.2614552859850171,0.26287341064309866,0.23424571804706995,0.22858900479236827,0.24252348729670792,0.26870242667894995,0.28458697069880773,0.24577499072400394,0.24622537337333406,0.24285702934756118,0.21432373516355374,0.23116318974478156,0.26728296392613926,0.24107903334740002,0.23519707012252386,0.22280405190984817,0.22476922688636944,0.22364298867475066,0.23393842804028264,0.27957696917406344,0.2359824652005075,0.23683891056031078,0.2461539723328551,0.2303990729216623,0.2405495807132672,0.22257553160817942,0.27109241951901714,0.24585052312175223,0.2514330659228155,0.2222419259370817,0.22569659477135123
3,0.2766827624926781,0.2409156785785768,0.3536252631921042,0.20377384585677857,0.19469835879700953,0.20664050888042962,0.23636140957276605,0.30345004932603137,0.25113577829897793,0.22675072073689415,0.2476428755444836,0.224417949219379,0.1986625910146339,0.23896042420745142,0.2684489882346416,0.2177324290070382,0.22466217371773337,0.20782402154336913,0.23882403617260173,0.21199112220608599,0.2760235370553444,0.31203765875835365,0.28147920306929136,0.30952078529796934,0.30007855341598183,0.2994663310188016,0.30856086260339644,0.36239015018120424,0.3968686116415674,0.3493216165960719,0.3668656184574183,0.31732504450198606,0.3335535903859263,0.3351209558533117,0.35573014753598675,0.39604016001574843,0.35663689750699956,0.37513161911191,0.36394263636462443,0.36504532545983515,0.3708185361093732,0.4317479420902444,0.4472278814928095,0.40690414311155554,0.40556456662197865,0.3813989852793074,0.37800645644896597,0.3550555670751958,0.3714172567437512,0.4841013981832729,0.4002236961411439,0.36659671332047966,0.3649824859060499,0.35352726218757313,0.34068090934481604,0.3636541113230079,0.4636479846528786,0.37909249175958043,0.34530576415463465,0.3382434224011234,0.3932054719353963,0.32205584222185507,0.34051474198754506,0.38279301983591285,0.3277007561576416,0.32689673914752304,0.35209346633558797,0.31268322693724065,0.32374048384299325,0.3189499540176984,0.36405285066686416,0.34189829874325883,0.3326526143985527,0.3223414160335819,0.31970619060263944,0.31564798025918983,0.3000241359127885,0.32751926336710285,0.31700281545309866,0.30226054584509854,0.31092348519506485,0.2907794416690833,0.2848890265534122,0.2815805467446378,0.34346400762950924,0.32094479591410036,0.3130625396327988,0.3093114529711437,0.28301611851712694,0.27240183216031233,0.2826233375545209,0.30998438424617925,0.3271256205711859,0.292023613212075,0.29518488422334105,0.29036404263454957,0.2586923473080768,0.27417239049922487,0.3140777945298377,0.28722362544903923,0.27880418312427746,0.26886273302443,0.2709203568909802,0.27248785990660324,0.2749569180972207,0.31677127965250035,0.2825018894216723,0.27807663970304725,0.2932822532993759,0.2784893631487309,0.28094976836320557,0.2624063452323226,0.31496117762544923,0.3011554228978501,0.3014644485081522,0.27132836681963857,0.2721562878918055
4,0.28366106958845283,0.24630572593062217,0.3676003322276421,0.2094045070317359,0.20290199472560252,0.21218660924282573,0.24595508093055998,0.31217904736743585,0.2633427683136084,0.23706242779195336,0.2608569732201373,0.23627365356058685,0.21488374480705794,0.25181881143426055,0.2883613603697469,0.23512968850578117,0.24664155577175895,0.2350592638636114,0.2553469179483949,0.24941584628099628,0.31438322785439354,0.3706515342619208,0.35537792805769053,0.37975001762996724,0.3792774511083282,0.37667980717884725,0.3855190265824666,0.43664802146221265,0.47088657487772057,0.44797042010736254,0.4547894839606734,0.40304061009453923,0.4233941396795705,0.412573957351237,0.4273929373754789,0.47623415677455344,0.45133062325610374,0.46888908791534445,0.45975443076758676,0.45164816154049886,0.4549608577652867,0.49814401493567745,0.5229943984871724,0.49429380962117725,0.49536978533585596,0.4709134265624264,0.4691527533858469,0.4422588619534927,0.4489737264721537,0.5705525977725904,0.4865914937986224,0.46457911804542906,0.458608623011659,0.4526856014938851,0.4317554873503294,0.4410447318409806,0.5423798513346645,0.46959678949147177,0.44127475453925796,0.43199914577777254,0.4781260784955655,0.4131283842821395,0.41581352054937426,0.46500758523269853,0.42940676118617704,0.4208133452569226,0.4505965394427818,0.40784897511416224,0.40897708049276504,0.3833555436523454,0.4457593391493718,0.4363794957295747,0.42566323566743125,0.42111199868678084,0.4177304310552807,0.41446430290545155,0.3690708178732922,0.40752841787651506,0.4129299247740889,0.39549035642498637,0.40156085238765,0.3807630753344574,0.35950503858597205,0.344466970895684,0.41682406109612957,0.4160111231925151,0.3927956406557979,0.3961420516557343,0.36125011822927316,0.3423380878645018,0.34380457429507755,0.37323226632795464,0.38675845827882743,0.36865807554571967,0.3813254909700488,0.36558003951140094,0.33144689300078084,0.32468432682569276,0.371818160688965,0.36273619557843056,0.35286217767931416,0.3422698248464052,0.3397475704720466,0.33994397030814894,0.32197983004785174,0.3645942991324508,0.34923807300373133,0.34425245442402624,0.3632926559027296,0.33791621831388186,0.3360912117868678,0.30508195868635024,0.36823476312481107,0.36661804954043686,0.36496172910716335,0.3324427740838906,0.3303529848587501
5,0.26016926009254876,0.23165029496394354,0.335432098423108,0.20757911634707593,0.19347455536880068,0.2026870575725685,0.22341874641829568,0.29604791817514164,0.25427190234094005,0.21378896937973932,0.23460033427402546,0.21459574832904396,0.19706215000716754,0.22212011068465043,0.2513935026930073,0.21545839340297673,0.22378925771880837,0.20504378900008838,0.2211196749213798,0.21315919940084657,0.26404249738564783,0.299883574848781,0.2849548107963025,0.31074119949755086,0.30631162185564714,0.300958718389617,0.30646227123359276,0.3454516109191512,0.3774317339974294,0.35375749756588515,0.3577922351352659,0.3171071812775542,0.32820261120729805,0.32605984360205953,0.344041839225494,0.37852885782985635,0.3551108259722463,0.3650429391777336,0.39291707238567747,0.38543286041775005,0.3882233761865968,0.4255646292663759,0.44496694744991944,0.4171030340406815,0.4108127500427725,0.3911082241742582,0.38327242288538116,0.36357021183958155,0.37038652758881313,0.4647048240264564,0.39402935669168343,0.3802062835575542,0.374776251664024,0.36900596580757467,0.3464224750951165,0.3554561720573295,0.4432312034011783,0.3759811209414653,0.35639249737132006,0.3432563404842573,0.38643782085613027,0.32548328465449383,0.33206692371299523,0.3734196586115982,0.33667432738567804,0.3306736152650194,0.3584259068099429,0.32719377555563817,0.36319826085791723,0.3502954487653817,0.39138553845807944,0.3814983987603921,0.38220162680102004,0.36929204729198767,0.36324802311529564,0.3559514037438999,0.33738902419184436,0.3619070317201851,0.3578466672916965,0.34362725131059113,0.35426988510155427,0.333046106923864,0.3219938370158159,0.3142718159653743,0.3754638402051848,0.3691686775213348,0.3470412666945485,0.34807394003541425,0.3241106342007385,0.31394091382235406,0.3170378169262529,0.33640590960783157,0.3488879161565057,0.3309519022658031,0.33452187110296483,0.32639870462470005,0.3001615994793284,0.31751133838457773,0.36007499567339907,0.34289169904360395,0.32563769764982325,0.3188474635353809,0.3128531645824857,0.31963983286531455,0.3111723408943631,0.34773736282063794,0.33556911637126247,0.3346554920613009,0.34664814593369375,0.33213795156437714,0.33021750348696305,0.31200183175609136,0.36596036885697864,0.36519466368913966,0.34053114525191547,0.31358943944038303,0.31365837931201174
